method,beta,seed,accuracy,pair_loss,brier,ece,mean_margin,accuracy_ci_low,accuracy_ci_high
pairwise,0.1,11,0.5566666666666666,0.6925763294009655,0.24971458207220304,0.4997097277682968,0.011611205771234557,0.5,0.6166666666666667
pointwise,0.1,11,0.5533333333333333,0.6926393788689502,0.24974610533446062,0.4997420149308568,0.010319657368019618,0.4965833333333333,0.6133333333333333
pairwise,0.1,29,0.5333333333333333,0.6927853617456897,0.24981909364915567,0.4998158115228253,0.00736766578486668,0.4766666666666667,0.59
pointwise,0.1,29,0.5266666666666666,0.6928460800163356,0.2498494517131119,0.4998468155767625,0.0061274591647280385,0.47333333333333333,0.5833333333333334
pairwise,0.1,47,0.5533333333333333,0.6927499337873677,0.24980137847505518,0.4997969854015072,0.0081206687050162,0.49666666666666665,0.6133333333333333
pointwise,0.1,47,0.54,0.6928129742848741,0.24983289800503267,0.4998291314873964,0.006834793812541616,0.48333333333333334,0.6
pairwise,0.1,83,0.5666666666666667,0.6923940811984334,0.2496234715028028,0.49961740293171897,0.01530475310841716,0.51,0.62
pointwise,0.1,83,0.5533333333333333,0.6924670671825126,0.2496599599902217,0.4996548190898059,0.013807920031335238,0.49666666666666665,0.61
pairwise,0.1,101,0.54,0.692703990799306,0.24977841041086218,0.49977486686192557,0.009005541960865535,0.48333333333333334,0.6
pointwise,0.1,101,0.5333333333333333,0.6927551031529829,0.24980396540128028,0.499801000108518,0.007960163173429135,0.4766666666666667,0.59
pairwise,0.3,11,0.5666666666666667,0.6896462202845371,0.24825179274288664,0.49803593628849885,0.026225247090664924,0.51,0.6233333333333333
pointwise,0.3,11,0.5333333333333333,0.6911978461527885,0.24902608913951302,0.49891405358039875,0.014491227867022779,0.4766666666666667,0.59
pairwise,0.3,29,0.5566666666666666,0.6907744106639716,0.24881489177921404,0.49864568823431665,0.018078656359417047,0.5065833333333334,0.6133333333333333
pointwise,0.3,29,0.53,0.6922704279650782,0.2495617859564185,0.4994772735290329,0.006972716481674335,0.4766666666666667,0.5866666666666667
pairwise,0.3,47,0.56,0.6902039177071094,0.2485293091418257,0.4983308067623694,0.022274612358403546,0.5066666666666667,0.6166666666666667
pointwise,0.3,47,0.54,0.6916297590965935,0.24924139654443025,0.4991330579278754,0.0115623555616641,0.48333333333333334,0.5933333333333334
pairwise,0.3,83,0.5733333333333334,0.6891689428468776,0.2480139613267528,0.497766902950969,0.029827960385763533,0.5166666666666667,0.63
pointwise,0.3,83,0.5533333333333333,0.690790989211526,0.2488230539404808,0.498695635591485,0.017409953321278114,0.49666666666666665,0.61
pairwise,0.3,101,0.5566666666666666,0.689977230129683,0.2484171250089651,0.4982292075932239,0.023643938665916072,0.50325,0.6133333333333333
pointwise,0.3,101,0.56,0.691473253706376,0.249163638673782,0.49906159154190466,0.012521578277830165,0.5033333333333333,0.6166666666666667
pairwise,1.0,11,0.54,0.6882200235884927,0.24750201276137454,0.49377393144175935,0.02534652727340072,0.48333333333333334,0.5966666666666667
pointwise,1.0,11,0.5033333333333333,0.6935565113006419,0.250182754953204,0.49857245660631755,0.005720469568146583,0.44666666666666666,0.56
pairwise,1.0,29,0.5366666666666666,0.6932618778821517,0.2500076401440982,0.4967057997108632,0.013439322836299625,0.48,0.5933333333333334
pointwise,1.0,29,0.51,0.6982900950682345,0.25252790614180526,0.5009953907821476,-0.004074075731079822,0.45666666666666667,0.5634166666666662
pairwise,1.0,47,0.5466666666666666,0.6915514626459958,0.24909832052396116,0.4953825764888832,0.01862111010569942,0.49333333333333335,0.6066666666666667
pointwise,1.0,47,0.48333333333333334,0.6960534086121298,0.25141206103219604,0.4996773710280272,0.001243417004136688,0.43,0.5433333333333333
pairwise,1.0,83,0.5666666666666667,0.6871110640862631,0.2468729269787651,0.49239420446630866,0.030934366544478856,0.5133333333333333,0.6233333333333333
pointwise,1.0,83,0.5366666666666666,0.6917203381135126,0.24925631342416701,0.49723460771089184,0.01109332904010529,0.48333333333333334,0.5933333333333334
pairwise,1.0,101,0.5233333333333333,0.6911708137027227,0.24899505039047137,0.49543952167182503,0.018702451941230033,0.4666666666666667,0.58
pointwise,1.0,101,0.5033333333333333,0.6959070834264739,0.251367177202844,0.4997611388680475,0.000999358697590255,0.44666666666666666,0.5633333333333334
pairwise,3.0,11,0.4866666666666667,0.7402100054216125,0.2681011593681519,0.4968157477660564,0.0034329683949510504,0.43,0.5433333333333333
pointwise,3.0,11,0.4866666666666667,0.7461597902226551,0.2717979098659836,0.50463075205934,-0.008538364885653961,0.43,0.5433333333333333
pairwise,3.0,29,0.49333333333333335,0.7485521917585297,0.2725777425450946,0.5015340299598497,-0.0031295389442874202,0.44,0.55
pointwise,3.0,29,0.49333333333333335,0.7553323849518327,0.2761602303583256,0.5085854660019836,-0.013948117146706285,0.43666666666666665,0.55
pairwise,3.0,47,0.49666666666666665,0.7470847166838477,0.2712890802873581,0.49844603413871774,0.0011387496195697847,0.44,0.5566666666666666
pointwise,3.0,47,0.44666666666666666,0.7524466185756209,0.2748158246108788,0.5068698356241609,-0.011627108506495518,0.3899166666666667,0.5033333333333333
pairwise,3.0,83,0.51,0.7348065338920424,0.2654722007470025,0.49216970783085906,0.010952001747702222,0.4533333333333333,0.57
pointwise,3.0,83,0.5,0.7383598845526461,0.2685821464369171,0.4997110733576251,-0.0007363875472100815,0.44,0.5566666666666666
pairwise,3.0,101,0.48,0.7477330093454843,0.27272361330942396,0.5015657019425055,-0.0019390207211546213,0.42333333333333334,0.5367499999999995
pointwise,3.0,101,0.47333333333333333,0.7529916698417868,0.2764365948893708,0.5094848030785799,-0.013962892589579017,0.4166666666666667,0.53
pairwise,10.0,11,0.48,1.0903362351267882,0.343534373836098,0.5102537254527385,-0.009616353282207338,0.42333333333333334,0.5366666666666666
pointwise,10.0,11,0.49666666666666665,1.2083436418806994,0.3550434241061957,0.5109155065100035,-0.018791808429817577,0.44,0.55
pairwise,10.0,29,0.48333333333333334,1.072587199708234,0.3362982178683124,0.5027146500579245,-0.005170374692571301,0.42991666666666667,0.54
pointwise,10.0,29,0.48,1.2225153659835457,0.3571199454257757,0.5109225649530351,-0.018343682351832116,0.4266666666666667,0.5366666666666666
pairwise,10.0,47,0.49666666666666665,1.0845728409413076,0.3424637388026257,0.5058910098152665,-0.007410329880380607,0.44,0.5533333333333333
pointwise,10.0,47,0.4766666666666667,1.2423900943494595,0.3683032476779728,0.5173661490915611,-0.020008776527917216,0.42,0.5333333333333333
pairwise,10.0,83,0.4633333333333333,1.0513944487181863,0.3336149802618785,0.5014165488959127,-0.0010044907217158598,0.4033333333333333,0.5200833333333329
pointwise,10.0,83,0.49333333333333335,1.1970654410071895,0.3586468229406924,0.5097052158722155,-0.013720356472062469,0.43333333333333335,0.55
pairwise,10.0,101,0.4766666666666667,1.0484811036157482,0.33719851780831533,0.5076193132360685,-0.005441810795570739,0.42,0.5333333333333333
pointwise,10.0,101,0.47,1.218439694784117,0.3633821370523039,0.5171335731125617,-0.018736179703489134,0.41333333333333333,0.5233333333333333
